"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 16 17:38:33 GMT 2024","Sat Mar 16 17:38:33 GMT 2024","1","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadResourcesCsv","SelenideDownloadResourcesCsv()",""
"failed","Sat Mar 16 17:38:35 GMT 2024","Sat Mar 16 17:38:49 GMT 2024","14769","","junit.TestBankRF","","junit.TestBankRF","career","career()",""
"passed","Sat Mar 16 17:37:43 GMT 2024","Sat Mar 16 17:37:45 GMT 2024","1899","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Мячики отображается сайт www.ozon.ru",""
"broken","Sat Mar 16 17:37:45 GMT 2024","Sat Mar 16 17:37:45 GMT 2024","4","","junit.RegistrationPageObjectStep","","junit.RegistrationPageObjectStep","testStep","testStep()",""
"passed","Sat Mar 16 17:37:41 GMT 2024","Sat Mar 16 17:37:43 GMT 2024","2697","","junit.ParameterizedSet","","junit.ParameterizedSet","BikesAppearWhenSearchingInChromeBrowser","BikesAppearWhenSearchingInChromeBrowser(String, String) При вводе Велосипеды отображается сайт www.velostrana.ru",""
"passed","Sat Mar 16 17:38:12 GMT 2024","Sat Mar 16 17:38:14 GMT 2024","1884","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadXls","SelenideDownloadXls()",""
"broken","Sat Mar 16 17:38:33 GMT 2024","Sat Mar 16 17:38:35 GMT 2024","1427","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadChromeJson","SelenideDownloadChromeJson()",""
"passed","Sat Mar 16 17:38:22 GMT 2024","Sat Mar 16 17:38:23 GMT 2024","1362","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadTest","SelenideDownloadTest()",""
"broken","Sat Mar 16 17:38:14 GMT 2024","Sat Mar 16 17:38:14 GMT 2024","2","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZip","SelenideDownloadZip()",""
"failed","Sat Mar 16 17:38:14 GMT 2024","Sat Mar 16 17:38:22 GMT 2024","7715","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideUploadTest","SelenideUploadTest()",""
"passed","Sat Mar 16 17:37:30 GMT 2024","Sat Mar 16 17:37:31 GMT 2024","1271","","junit.JunitTest","","junit.JunitTest","fistTest","fistTest()",""
"failed","Sat Mar 16 17:38:23 GMT 2024","Sat Mar 16 17:38:33 GMT 2024","10270","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadZipo","SelenideDownloadZipo()",""
"passed","Sat Mar 16 17:38:14 GMT 2024","Sat Mar 16 17:38:14 GMT 2024","83","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadImprovedJson","SelenideDownloadImprovedJson()",""
"passed","Sat Mar 16 17:38:22 GMT 2024","Sat Mar 16 17:38:22 GMT 2024","5","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadJson","SelenideDownloadJson()",""
"failed","Sat Mar 16 17:37:33 GMT 2024","Sat Mar 16 17:37:40 GMT 2024","7347","","junit.PageObjectsTest","","junit.PageObjectsTest","fistTest","fistTest()",""
"passed","Sat Mar 16 17:36:47 GMT 2024","Sat Mar 16 17:37:00 GMT 2024","12147","","junit.FirstTest","","junit.FirstTest","fistTest","fistTest()",""
"passed","Sat Mar 16 17:38:07 GMT 2024","Sat Mar 16 17:38:12 GMT 2024","5308","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadPDF","SelenideDownloadPDF()",""
"broken","Sat Mar 16 17:37:00 GMT 2024","Sat Mar 16 17:37:30 GMT 2024","30026","","junit.FourtTest","","junit.FourtTest","fistTest","fistTest()",""
"passed","Sat Mar 16 17:38:49 GMT 2024","Sat Mar 16 17:38:56 GMT 2024","6020","","junit.ThirdTest","","junit.ThirdTest","fistTest","fistTest()",""
"passed","Sat Mar 16 17:37:45 GMT 2024","Sat Mar 16 17:38:01 GMT 2024","16158","","junit.SecondTest","","junit.SecondTest","fistTest","fistTest()",""
"failed","Sat Mar 16 17:38:01 GMT 2024","Sat Mar 16 17:38:07 GMT 2024","5224","","junit.SelenideFilesTest","","junit.SelenideFilesTest","SelenideDownloadCsv","SelenideDownloadCsv()",""
